type,metric_index,metric,run,answer
oneshot,1,Diameter of the ball in pixel,1,15.0
oneshot,1,Diameter of the ball in pixel,2,15.2
oneshot,1,Diameter of the ball in pixel,3,30.0
oneshot,1,Diameter of the ball in pixel,4,50.0
oneshot,1,Diameter of the ball in pixel,5,30.0
oneshot,1,Diameter of the ball in pixel,6,15.0
oneshot,1,Diameter of the ball in pixel,7,50.0
oneshot,1,Diameter of the ball in pixel,8,50.0
oneshot,1,Diameter of the ball in pixel,9,50.0
oneshot,1,Diameter of the ball in pixel,10,33.0
oneshot,1,Diameter of the ball in pixel,11,50.0
oneshot,1,Diameter of the ball in pixel,12,50.0
oneshot,1,Diameter of the ball in pixel,13,50.0
oneshot,1,Diameter of the ball in pixel,14,15.0
oneshot,1,Diameter of the ball in pixel,15,50.0
oneshot,1,Diameter of the ball in pixel,16,15.0
oneshot,1,Diameter of the ball in pixel,17,12.5
oneshot,1,Diameter of the ball in pixel,18,50.0
oneshot,1,Diameter of the ball in pixel,19,30.0
oneshot,1,Diameter of the ball in pixel,20,15.0
oneshot,1,Diameter of the ball in pixel,21,35.0
oneshot,1,Diameter of the ball in pixel,22,30.0
oneshot,1,Diameter of the ball in pixel,23,12.5
oneshot,1,Diameter of the ball in pixel,24,18.0
oneshot,1,Diameter of the ball in pixel,25,15.0
oneshot,1,Diameter of the ball in pixel,26,50.0
oneshot,1,Diameter of the ball in pixel,27,50.0
oneshot,1,Diameter of the ball in pixel,28,15.0
oneshot,1,Diameter of the ball in pixel,29,12.5
oneshot,1,Diameter of the ball in pixel,30,16.0
oneshot,1,Diameter of the ball in pixel,31,10.0
oneshot,1,Diameter of the ball in pixel,32,20.0
oneshot,1,Diameter of the ball in pixel,33,50.0
oneshot,1,Diameter of the ball in pixel,34,50.0
oneshot,1,Diameter of the ball in pixel,35,30.0
oneshot,1,Diameter of the ball in pixel,36,15.0
oneshot,1,Diameter of the ball in pixel,37,50.0
oneshot,1,Diameter of the ball in pixel,38,50.0
oneshot,1,Diameter of the ball in pixel,39,30.5
oneshot,1,Diameter of the ball in pixel,40,10.0
oneshot,1,Diameter of the ball in pixel,41,15.0
oneshot,1,Diameter of the ball in pixel,42,15.0
oneshot,1,Diameter of the ball in pixel,43,10.5
oneshot,1,Diameter of the ball in pixel,44,50.0
oneshot,1,Diameter of the ball in pixel,45,50.0
oneshot,1,Diameter of the ball in pixel,46,30.0
oneshot,1,Diameter of the ball in pixel,47,30.5
oneshot,1,Diameter of the ball in pixel,48,30.5
oneshot,1,Diameter of the ball in pixel,49,30.0
oneshot,1,Diameter of the ball in pixel,50,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,1,30.0
oneshot,2,Original position of the ball's center at t=0 in pixel,2,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,3,400.0
oneshot,2,Original position of the ball's center at t=0 in pixel,4,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,5,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,6,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,7,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,8,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,9,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,10,250.0
oneshot,2,Original position of the ball's center at t=0 in pixel,11,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,12,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,13,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,14,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,15,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,16,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,17,30.0
oneshot,2,Original position of the ball's center at t=0 in pixel,18,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,19,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,20,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,21,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,22,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,23,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,24,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,25,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,26,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,27,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,28,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,29,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,30,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,31,15.0
oneshot,2,Original position of the ball's center at t=0 in pixel,32,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,33,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,34,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,35,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,36,30.0
oneshot,2,Original position of the ball's center at t=0 in pixel,37,300.0
oneshot,2,Original position of the ball's center at t=0 in pixel,38,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,39,150.2
oneshot,2,Original position of the ball's center at t=0 in pixel,40,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,41,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,42,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,43,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,44,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,45,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,46,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,47,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,48,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,49,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,50,200.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,1,12.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,2,8.5
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,3,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,4,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,5,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,6,3.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,7,15.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,8,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,9,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,10,25.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,11,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,12,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,13,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,14,3.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,15,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,16,6.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,17,5.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,18,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,19,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,20,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,21,7.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,22,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,23,8.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,24,36.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,25,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,26,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,27,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,28,3.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,29,15.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,30,32.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,31,4.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,32,15.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,33,15.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,34,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,35,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,36,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,37,40.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,38,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,39,12.4
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,40,5.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,41,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,42,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,43,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,44,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,45,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,46,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,47,6.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,48,12.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,49,12.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,50,10.0
oneshot,4,Change of pixels of the ball moved between t=0.2 and t=0.4 s,1,20.0
oneshot,4,Change of pixels of the ball moved between t=0.2 and t=0.4 s,2,9.0
oneshot,4,Change of pixels of the ball moved between t=0.2 and t=0.4 s,3,25.0
oneshot,4,Change of pixels of the ball moved between t=0.2 and t=0.4 s,4,24.0
oneshot,4,Change of pixels of the ball moved between t=0.2 and t=0.4 s,5,12.0
oneshot,4,Change of pixels of the ball moved between t=0.2 and t=0.4 s,6,3.5
