type,metric_index,metric,run,answer
oneshot,1,Diameter of the ball in pixel,1,15.8
oneshot,1,Diameter of the ball in pixel,2,50.0
oneshot,1,Diameter of the ball in pixel,3,30.0
oneshot,1,Diameter of the ball in pixel,4,50.0
oneshot,1,Diameter of the ball in pixel,5,30.0
oneshot,1,Diameter of the ball in pixel,6,50.0
oneshot,1,Diameter of the ball in pixel,7,15.0
oneshot,1,Diameter of the ball in pixel,8,50.0
oneshot,1,Diameter of the ball in pixel,9,15.0
oneshot,1,Diameter of the ball in pixel,10,15.0
oneshot,1,Diameter of the ball in pixel,11,40.0
oneshot,1,Diameter of the ball in pixel,12,50.0
oneshot,1,Diameter of the ball in pixel,13,15.0
oneshot,1,Diameter of the ball in pixel,14,15.0
oneshot,1,Diameter of the ball in pixel,15,15.0
oneshot,1,Diameter of the ball in pixel,16,25.0
oneshot,1,Diameter of the ball in pixel,17,50.0
oneshot,1,Diameter of the ball in pixel,18,50.0
oneshot,1,Diameter of the ball in pixel,19,15.0
oneshot,1,Diameter of the ball in pixel,20,50.0
oneshot,1,Diameter of the ball in pixel,21,30.0
oneshot,1,Diameter of the ball in pixel,22,15.0
oneshot,1,Diameter of the ball in pixel,23,50.0
oneshot,1,Diameter of the ball in pixel,24,80.0
oneshot,1,Diameter of the ball in pixel,25,50.0
oneshot,1,Diameter of the ball in pixel,26,12.5
oneshot,1,Diameter of the ball in pixel,27,25.0
oneshot,1,Diameter of the ball in pixel,28,15.0
oneshot,1,Diameter of the ball in pixel,29,50.0
oneshot,1,Diameter of the ball in pixel,30,25.0
oneshot,1,Diameter of the ball in pixel,31,50.0
oneshot,1,Diameter of the ball in pixel,32,20.0
oneshot,1,Diameter of the ball in pixel,33,18.0
oneshot,1,Diameter of the ball in pixel,34,50.0
oneshot,1,Diameter of the ball in pixel,35,10.0
oneshot,1,Diameter of the ball in pixel,36,50.0
oneshot,1,Diameter of the ball in pixel,37,15.6
oneshot,1,Diameter of the ball in pixel,38,50.0
oneshot,1,Diameter of the ball in pixel,39,50.0
oneshot,1,Diameter of the ball in pixel,40,50.0
oneshot,1,Diameter of the ball in pixel,41,50.0
oneshot,1,Diameter of the ball in pixel,42,50.0
oneshot,1,Diameter of the ball in pixel,43,25.0
oneshot,1,Diameter of the ball in pixel,44,50.0
oneshot,1,Diameter of the ball in pixel,45,15.0
oneshot,1,Diameter of the ball in pixel,46,15.0
oneshot,1,Diameter of the ball in pixel,47,30.0
oneshot,1,Diameter of the ball in pixel,48,50.0
oneshot,1,Diameter of the ball in pixel,49,10.5
oneshot,1,Diameter of the ball in pixel,50,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,1,100.5
oneshot,2,Original position of the ball's center at t=0 in pixel,2,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,3,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,4,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,5,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,6,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,7,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,8,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,9,30.0
oneshot,2,Original position of the ball's center at t=0 in pixel,10,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,11,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,12,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,13,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,14,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,15,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,16,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,17,250.0
oneshot,2,Original position of the ball's center at t=0 in pixel,18,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,19,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,20,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,21,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,22,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,23,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,24,400.0
oneshot,2,Original position of the ball's center at t=0 in pixel,25,300.0
oneshot,2,Original position of the ball's center at t=0 in pixel,26,108.3
oneshot,2,Original position of the ball's center at t=0 in pixel,27,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,28,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,29,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,30,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,31,300.0
oneshot,2,Original position of the ball's center at t=0 in pixel,32,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,33,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,34,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,35,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,36,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,37,172.0
oneshot,2,Original position of the ball's center at t=0 in pixel,38,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,39,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,40,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,41,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,42,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,43,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,44,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,45,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,46,30.0
oneshot,2,Original position of the ball's center at t=0 in pixel,47,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,48,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,49,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,50,150.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,1,30.2
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,2,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,3,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,4,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,5,6.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,6,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,7,5.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,8,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,9,5.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,10,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,11,15.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,12,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,13,3.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,14,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,15,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,16,15.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,17,40.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,18,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,19,3.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,20,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,21,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,22,3.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,23,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,24,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,25,8.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,26,24.6
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,27,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,28,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,29,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,30,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,31,40.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,32,40.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,33,36.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,34,30.0
