type,metric_index,metric,run,answer
oneshot,1,Diameter of the ball in pixel,1,10.0
oneshot,1,Diameter of the ball in pixel,2,50.0
oneshot,1,Diameter of the ball in pixel,3,50.0
oneshot,1,Diameter of the ball in pixel,4,50.0
oneshot,1,Diameter of the ball in pixel,5,50.0
oneshot,1,Diameter of the ball in pixel,6,15.0
oneshot,1,Diameter of the ball in pixel,7,50.0
oneshot,1,Diameter of the ball in pixel,8,25.0
oneshot,1,Diameter of the ball in pixel,9,50.0
oneshot,1,Diameter of the ball in pixel,10,15.0
oneshot,1,Diameter of the ball in pixel,11,20.5
oneshot,1,Diameter of the ball in pixel,12,30.0
oneshot,1,Diameter of the ball in pixel,13,20.0
oneshot,1,Diameter of the ball in pixel,14,25.0
oneshot,1,Diameter of the ball in pixel,15,15.0
oneshot,1,Diameter of the ball in pixel,16,15.0
oneshot,1,Diameter of the ball in pixel,17,50.0
oneshot,1,Diameter of the ball in pixel,18,15.0
oneshot,1,Diameter of the ball in pixel,19,15.5
oneshot,1,Diameter of the ball in pixel,20,30.0
oneshot,1,Diameter of the ball in pixel,21,50.0
oneshot,1,Diameter of the ball in pixel,22,14.0
oneshot,1,Diameter of the ball in pixel,23,30.0
oneshot,1,Diameter of the ball in pixel,24,50.0
oneshot,1,Diameter of the ball in pixel,25,50.0
oneshot,1,Diameter of the ball in pixel,26,15.0
oneshot,1,Diameter of the ball in pixel,27,15.0
oneshot,1,Diameter of the ball in pixel,28,50.0
oneshot,1,Diameter of the ball in pixel,29,50.0
oneshot,1,Diameter of the ball in pixel,30,15.5
oneshot,1,Diameter of the ball in pixel,31,15.0
oneshot,1,Diameter of the ball in pixel,32,15.0
oneshot,1,Diameter of the ball in pixel,33,30.0
oneshot,1,Diameter of the ball in pixel,34,14.5
oneshot,1,Diameter of the ball in pixel,35,10.0
oneshot,1,Diameter of the ball in pixel,36,50.0
oneshot,1,Diameter of the ball in pixel,37,15.0
oneshot,1,Diameter of the ball in pixel,38,16.0
