type,metric_index,metric,run,answer
oneshot,1,Diameter of the ball in pixel,1,16.0
oneshot,1,Diameter of the ball in pixel,2,50.0
oneshot,1,Diameter of the ball in pixel,3,50.0
oneshot,1,Diameter of the ball in pixel,4,15.0
oneshot,1,Diameter of the ball in pixel,5,12.5
oneshot,1,Diameter of the ball in pixel,6,15.7
oneshot,1,Diameter of the ball in pixel,7,50.0
oneshot,1,Diameter of the ball in pixel,8,25.0
oneshot,1,Diameter of the ball in pixel,9,50.0
oneshot,1,Diameter of the ball in pixel,10,15.0
oneshot,1,Diameter of the ball in pixel,11,30.5
oneshot,1,Diameter of the ball in pixel,12,30.0
oneshot,1,Diameter of the ball in pixel,13,15.6
oneshot,1,Diameter of the ball in pixel,14,25.0
oneshot,1,Diameter of the ball in pixel,15,24.5
oneshot,1,Diameter of the ball in pixel,16,50.0
oneshot,1,Diameter of the ball in pixel,17,50.0
oneshot,1,Diameter of the ball in pixel,18,12.5
oneshot,1,Diameter of the ball in pixel,19,50.0
oneshot,1,Diameter of the ball in pixel,20,25.0
oneshot,1,Diameter of the ball in pixel,21,50.0
oneshot,1,Diameter of the ball in pixel,22,30.0
oneshot,1,Diameter of the ball in pixel,23,25.0
oneshot,1,Diameter of the ball in pixel,24,50.0
oneshot,1,Diameter of the ball in pixel,25,30.0
oneshot,1,Diameter of the ball in pixel,26,50.0
oneshot,1,Diameter of the ball in pixel,27,15.2
oneshot,1,Diameter of the ball in pixel,28,15.2
oneshot,1,Diameter of the ball in pixel,29,15.2
oneshot,1,Diameter of the ball in pixel,30,10.0
oneshot,1,Diameter of the ball in pixel,31,50.0
oneshot,1,Diameter of the ball in pixel,32,25.0
oneshot,1,Diameter of the ball in pixel,33,12.5
oneshot,1,Diameter of the ball in pixel,34,30.5
oneshot,1,Diameter of the ball in pixel,35,15.0
oneshot,1,Diameter of the ball in pixel,36,50.0
oneshot,1,Diameter of the ball in pixel,37,30.0
oneshot,1,Diameter of the ball in pixel,38,10.0
oneshot,1,Diameter of the ball in pixel,39,30.0
oneshot,1,Diameter of the ball in pixel,40,30.0
oneshot,1,Diameter of the ball in pixel,41,35.7
oneshot,1,Diameter of the ball in pixel,42,30.0
oneshot,1,Diameter of the ball in pixel,43,12.0
oneshot,1,Diameter of the ball in pixel,44,50.0
oneshot,1,Diameter of the ball in pixel,45,15.2
oneshot,1,Diameter of the ball in pixel,46,50.0
oneshot,1,Diameter of the ball in pixel,47,15.0
oneshot,1,Diameter of the ball in pixel,48,20.0
oneshot,1,Diameter of the ball in pixel,49,50.0
oneshot,1,Diameter of the ball in pixel,50,25.0
oneshot,2,Original position of the ball's center at t=0 in pixel,1,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,2,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,3,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,4,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,5,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,6,34.2
oneshot,2,Original position of the ball's center at t=0 in pixel,7,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,8,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,9,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,10,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,11,150.2
oneshot,2,Original position of the ball's center at t=0 in pixel,12,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,13,120.0
oneshot,2,Original position of the ball's center at t=0 in pixel,14,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,15,130.0
oneshot,2,Original position of the ball's center at t=0 in pixel,16,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,17,250.0
oneshot,2,Original position of the ball's center at t=0 in pixel,18,34.7
oneshot,2,Original position of the ball's center at t=0 in pixel,19,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,20,300.0
oneshot,2,Original position of the ball's center at t=0 in pixel,21,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,22,400.0
oneshot,2,Original position of the ball's center at t=0 in pixel,23,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,24,250.0
oneshot,2,Original position of the ball's center at t=0 in pixel,25,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,26,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,27,100.5
oneshot,2,Original position of the ball's center at t=0 in pixel,28,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,29,100.5
oneshot,2,Original position of the ball's center at t=0 in pixel,30,20.0
oneshot,2,Original position of the ball's center at t=0 in pixel,31,300.0
oneshot,2,Original position of the ball's center at t=0 in pixel,32,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,33,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,34,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,35,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,36,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,37,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,38,5.0
oneshot,2,Original position of the ball's center at t=0 in pixel,39,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,40,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,41,145.9
oneshot,2,Original position of the ball's center at t=0 in pixel,42,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,43,45.0
oneshot,2,Original position of the ball's center at t=0 in pixel,44,250.0
oneshot,2,Original position of the ball's center at t=0 in pixel,45,100.5
