type,metric_index,metric,run,answer
oneshot,1,Diameter of the ball in pixel,1,15.0
oneshot,1,Diameter of the ball in pixel,2,15.5
oneshot,1,Diameter of the ball in pixel,3,50.0
oneshot,1,Diameter of the ball in pixel,4,50.0
oneshot,1,Diameter of the ball in pixel,5,50.0
oneshot,1,Diameter of the ball in pixel,6,24.5
oneshot,1,Diameter of the ball in pixel,7,15.2
oneshot,1,Diameter of the ball in pixel,8,50.0
oneshot,1,Diameter of the ball in pixel,9,20.0
oneshot,1,Diameter of the ball in pixel,10,10.0
oneshot,1,Diameter of the ball in pixel,11,50.0
oneshot,1,Diameter of the ball in pixel,12,10.5
oneshot,1,Diameter of the ball in pixel,13,50.0
oneshot,1,Diameter of the ball in pixel,14,15.0
oneshot,1,Diameter of the ball in pixel,15,15.0
oneshot,1,Diameter of the ball in pixel,16,50.0
oneshot,1,Diameter of the ball in pixel,17,15.0
oneshot,1,Diameter of the ball in pixel,18,15.0
oneshot,1,Diameter of the ball in pixel,19,30.0
oneshot,1,Diameter of the ball in pixel,20,15.0
oneshot,1,Diameter of the ball in pixel,21,50.0
oneshot,1,Diameter of the ball in pixel,22,15.0
oneshot,1,Diameter of the ball in pixel,23,50.0
oneshot,1,Diameter of the ball in pixel,24,30.0
oneshot,1,Diameter of the ball in pixel,25,15.4
oneshot,1,Diameter of the ball in pixel,26,50.0
oneshot,1,Diameter of the ball in pixel,27,15.0
oneshot,1,Diameter of the ball in pixel,28,15.0
oneshot,1,Diameter of the ball in pixel,29,50.0
oneshot,1,Diameter of the ball in pixel,30,30.0
oneshot,1,Diameter of the ball in pixel,31,50.0
oneshot,1,Diameter of the ball in pixel,32,50.0
oneshot,1,Diameter of the ball in pixel,33,15.0
oneshot,1,Diameter of the ball in pixel,34,15.0
oneshot,1,Diameter of the ball in pixel,35,50.0
oneshot,1,Diameter of the ball in pixel,36,15.0
oneshot,1,Diameter of the ball in pixel,37,30.0
oneshot,1,Diameter of the ball in pixel,38,50.0
oneshot,1,Diameter of the ball in pixel,39,50.0
oneshot,1,Diameter of the ball in pixel,40,25.0
oneshot,1,Diameter of the ball in pixel,41,30.0
oneshot,1,Diameter of the ball in pixel,42,25.0
oneshot,1,Diameter of the ball in pixel,43,50.0
oneshot,1,Diameter of the ball in pixel,44,50.0
oneshot,1,Diameter of the ball in pixel,45,15.0
oneshot,1,Diameter of the ball in pixel,46,50.0
