type,metric_index,metric,run,answer
oneshot,1,Diameter of the ball in pixel,1,30.0
oneshot,1,Diameter of the ball in pixel,2,15.0
oneshot,1,Diameter of the ball in pixel,3,30.0
oneshot,1,Diameter of the ball in pixel,4,15.0
oneshot,1,Diameter of the ball in pixel,5,5.2
oneshot,1,Diameter of the ball in pixel,6,50.0
oneshot,1,Diameter of the ball in pixel,7,50.0
oneshot,1,Diameter of the ball in pixel,8,50.0
oneshot,1,Diameter of the ball in pixel,9,30.0
oneshot,1,Diameter of the ball in pixel,10,15.0
oneshot,1,Diameter of the ball in pixel,11,15.0
oneshot,1,Diameter of the ball in pixel,12,15.0
oneshot,1,Diameter of the ball in pixel,13,120.5
oneshot,1,Diameter of the ball in pixel,14,20.0
oneshot,1,Diameter of the ball in pixel,15,15.0
oneshot,1,Diameter of the ball in pixel,16,50.0
oneshot,1,Diameter of the ball in pixel,17,50.0
oneshot,1,Diameter of the ball in pixel,18,50.0
oneshot,1,Diameter of the ball in pixel,19,30.0
oneshot,1,Diameter of the ball in pixel,20,15.0
oneshot,1,Diameter of the ball in pixel,21,15.0
oneshot,1,Diameter of the ball in pixel,22,50.0
oneshot,1,Diameter of the ball in pixel,23,50.0
oneshot,1,Diameter of the ball in pixel,24,15.0
oneshot,1,Diameter of the ball in pixel,25,30.0
oneshot,1,Diameter of the ball in pixel,26,15.0
oneshot,1,Diameter of the ball in pixel,27,50.0
oneshot,1,Diameter of the ball in pixel,28,15.0
oneshot,1,Diameter of the ball in pixel,29,15.0
oneshot,1,Diameter of the ball in pixel,30,15.0
oneshot,1,Diameter of the ball in pixel,31,15.0
oneshot,1,Diameter of the ball in pixel,32,50.0
oneshot,1,Diameter of the ball in pixel,33,15.0
oneshot,1,Diameter of the ball in pixel,34,20.0
oneshot,1,Diameter of the ball in pixel,35,15.0
oneshot,1,Diameter of the ball in pixel,36,15.0
oneshot,1,Diameter of the ball in pixel,37,30.0
oneshot,1,Diameter of the ball in pixel,38,50.0
oneshot,1,Diameter of the ball in pixel,39,50.0
oneshot,1,Diameter of the ball in pixel,40,15.0
oneshot,1,Diameter of the ball in pixel,41,12.5
oneshot,1,Diameter of the ball in pixel,42,50.0
oneshot,1,Diameter of the ball in pixel,43,15.0
oneshot,1,Diameter of the ball in pixel,44,50.0
oneshot,1,Diameter of the ball in pixel,45,25.0
oneshot,1,Diameter of the ball in pixel,46,45.0
oneshot,1,Diameter of the ball in pixel,47,50.0
oneshot,1,Diameter of the ball in pixel,48,50.0
oneshot,1,Diameter of the ball in pixel,49,50.0
oneshot,1,Diameter of the ball in pixel,50,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,1,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,2,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,3,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,4,30.0
oneshot,2,Original position of the ball's center at t=0 in pixel,5,10.0
oneshot,2,Original position of the ball's center at t=0 in pixel,6,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,7,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,8,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,9,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,10,30.0
oneshot,2,Original position of the ball's center at t=0 in pixel,11,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,12,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,13,250.0
oneshot,2,Original position of the ball's center at t=0 in pixel,14,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,15,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,16,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,17,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,18,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,19,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,20,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,21,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,22,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,23,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,24,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,25,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,26,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,27,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,28,40.0
oneshot,2,Original position of the ball's center at t=0 in pixel,29,30.0
oneshot,2,Original position of the ball's center at t=0 in pixel,30,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,31,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,32,300.0
oneshot,2,Original position of the ball's center at t=0 in pixel,33,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,34,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,35,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,36,5.0
oneshot,2,Original position of the ball's center at t=0 in pixel,37,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,38,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,39,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,40,245.0
oneshot,2,Original position of the ball's center at t=0 in pixel,41,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,42,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,43,30.0
oneshot,2,Original position of the ball's center at t=0 in pixel,44,100.0
