type,metric_index,metric,run,answer
oneshot,1,Diameter of the ball in pixel,1,50.0
oneshot,1,Diameter of the ball in pixel,2,15.0
oneshot,1,Diameter of the ball in pixel,3,30.0
oneshot,1,Diameter of the ball in pixel,4,15.0
oneshot,1,Diameter of the ball in pixel,5,15.0
oneshot,1,Diameter of the ball in pixel,6,50.0
oneshot,1,Diameter of the ball in pixel,7,15.0
oneshot,1,Diameter of the ball in pixel,8,15.5
oneshot,1,Diameter of the ball in pixel,9,15.0
oneshot,1,Diameter of the ball in pixel,10,15.0
oneshot,1,Diameter of the ball in pixel,11,30.0
oneshot,1,Diameter of the ball in pixel,12,24.0
oneshot,1,Diameter of the ball in pixel,13,25.0
oneshot,1,Diameter of the ball in pixel,14,15.3
oneshot,1,Diameter of the ball in pixel,15,25.0
oneshot,1,Diameter of the ball in pixel,16,30.0
oneshot,1,Diameter of the ball in pixel,17,30.0
oneshot,1,Diameter of the ball in pixel,18,15.0
oneshot,1,Diameter of the ball in pixel,19,15.0
oneshot,1,Diameter of the ball in pixel,20,50.0
oneshot,1,Diameter of the ball in pixel,21,50.0
oneshot,1,Diameter of the ball in pixel,22,50.0
oneshot,1,Diameter of the ball in pixel,23,15.5
oneshot,1,Diameter of the ball in pixel,24,30.5
oneshot,1,Diameter of the ball in pixel,25,15.5
oneshot,1,Diameter of the ball in pixel,26,50.0
oneshot,1,Diameter of the ball in pixel,27,50.0
oneshot,1,Diameter of the ball in pixel,28,30.0
oneshot,1,Diameter of the ball in pixel,29,15.0
oneshot,1,Diameter of the ball in pixel,30,15.3
oneshot,1,Diameter of the ball in pixel,31,15.0
oneshot,1,Diameter of the ball in pixel,32,15.0
oneshot,1,Diameter of the ball in pixel,33,15.7
oneshot,1,Diameter of the ball in pixel,34,15.0
oneshot,1,Diameter of the ball in pixel,35,50.0
oneshot,1,Diameter of the ball in pixel,36,30.0
oneshot,1,Diameter of the ball in pixel,37,15.0
oneshot,1,Diameter of the ball in pixel,38,15.0
oneshot,1,Diameter of the ball in pixel,39,50.0
oneshot,1,Diameter of the ball in pixel,40,50.0
oneshot,1,Diameter of the ball in pixel,41,50.0
oneshot,1,Diameter of the ball in pixel,42,50.0
oneshot,1,Diameter of the ball in pixel,43,50.0
oneshot,1,Diameter of the ball in pixel,44,15.0
oneshot,1,Diameter of the ball in pixel,45,50.0
oneshot,1,Diameter of the ball in pixel,46,30.0
oneshot,1,Diameter of the ball in pixel,47,15.0
oneshot,1,Diameter of the ball in pixel,48,50.0
oneshot,1,Diameter of the ball in pixel,49,50.0
oneshot,1,Diameter of the ball in pixel,50,12.5
oneshot,2,Original position of the ball's center at t=0 in pixel,1,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,2,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,3,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,4,46.0
oneshot,2,Original position of the ball's center at t=0 in pixel,5,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,6,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,7,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,8,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,9,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,10,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,11,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,12,15.0
oneshot,2,Original position of the ball's center at t=0 in pixel,13,300.0
oneshot,2,Original position of the ball's center at t=0 in pixel,14,45.0
oneshot,2,Original position of the ball's center at t=0 in pixel,15,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,16,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,17,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,18,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,19,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,20,300.0
oneshot,2,Original position of the ball's center at t=0 in pixel,21,120.0
oneshot,2,Original position of the ball's center at t=0 in pixel,22,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,23,120.0
oneshot,2,Original position of the ball's center at t=0 in pixel,24,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,25,210.0
oneshot,2,Original position of the ball's center at t=0 in pixel,26,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,27,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,28,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,29,30.0
oneshot,2,Original position of the ball's center at t=0 in pixel,30,22.5
oneshot,2,Original position of the ball's center at t=0 in pixel,31,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,32,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,33,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,34,240.0
oneshot,2,Original position of the ball's center at t=0 in pixel,35,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,36,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,37,50.0
oneshot,2,Original position of the ball's center at t=0 in pixel,38,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,39,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,40,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,41,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,42,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,43,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,44,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,45,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,46,150.0
oneshot,2,Original position of the ball's center at t=0 in pixel,47,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,48,100.0
oneshot,2,Original position of the ball's center at t=0 in pixel,49,200.0
oneshot,2,Original position of the ball's center at t=0 in pixel,50,35.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,1,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,2,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,3,4.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,4,6.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,5,5.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,6,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,7,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,8,5.5
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,9,5.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,10,5.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,11,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,12,8.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,13,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,14,9.5
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,15,15.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,16,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,17,5.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,18,4.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,19,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,20,15.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,21,10.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,22,15.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,23,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,24,15.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,25,8.6
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,26,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,27,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,28,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,29,5.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,30,3.6
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,31,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,32,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,33,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,34,30.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,35,20.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,36,60.0
oneshot,3,Change of pixels of the ball moved between t=0 s and t=0.2 s,37,20.0
